audio_path,text,emotion,split
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav,Fine.,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav,That's not your flashlight.,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.wav,You keep saying my flashlight like it's just yours.,2,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F007.wav,How's that supposed to make me feel?,2,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F008.wav,Yeah.,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F009.wav,[LAUGHTER],0,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F010.wav,I'm cold.,1,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F015.wav,Not particularly.,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F024.wav,That's the wind.,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.wav,About what?,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M002.wav,"Okay.  Is that, is that--",0,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M007.wav,"The flashlight, the silver one.  There's only one, isn't there?",3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M008.wav,Whose is it?,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M009.wav,"Oh...well. Yeah, of course.",3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M010.wav,No.,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M011.wav,"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight.",3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M013.wav,Do they always run during a full moon?  I don't remember.  Was it full last year?,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M014.wav,"Huh.  Are you cold?  Do you want my jacket?  No?  you know, we should have brought the blanket?  Our blanket.",3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M015.wav,"Aw.  Do you know, I should have brought a six pack, too.  A six pack, that would be just the ticket right about now.  Huh?",3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M016.wav,"God, I'm so excited, I'm like a kid.  I can't believe I got out of the house with my fly zipped up.",0,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M020.wav,Right.,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M021.wav,"Wait, that's my point, too.",3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M023.wav,Why not?,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M024.wav,"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up.",3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M025.wav,Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M026.wav,This is a big night for these little guys.  It's like life's last orgy.,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M029.wav,"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested.",3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M031.wav,"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?",3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M032.wav,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M033.wav,Ahh...we weren't in a good spot.,3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M034.wav,"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things.",3,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M035.wav,"Look there, see?  What's that?  No, that's - that's just seaweed.",0,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M036.wav,"God, this is great.  Think about this.  I know you are not interested, but just think about this.",0,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M038.wav,"Just all at once, they turned and they formed this line as long as the California coast.  And some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming.",0,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M040.wav,It's single mindedness with no mind.  It is urgency that is just pure urge.,0,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M043.wav,So what do you think?,0,train
Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M044.wav,"About all of that, about all I was talking about.",0,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F000.wav,"Uh, what?  Craig's List?  Oh the internet thing?",3,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F001.wav,I don't know.  Isn't that-- that's all like escort services and things like that.,3,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F005.wav,He just...,3,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F006.wav,you know what?  I heard about that job.  I applied for that.,3,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F009.wav,Yeah.,3,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F013.wav,I just- I mean I call people up and I tell them what I'm good at.,3,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F014.wav,Yeah.,3,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F028.wav,I'm not frustrated.,2,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F029.wav,Who do you think you are?,2,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F030.wav,You are so high and mighty.  I just--,2,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F031.wav,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,2,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F032.wav,"The bus, I'm riding the bus because I want to.",2,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F033.wav,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,2,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M000.wav,"Have you tried, uh, Craig's List?",3,train
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M001.wav,Yeah.,3,train
